# Annotated with Bakta
# Software: v1.9.4
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
NODE_18_length_90002_cov_22.203536	cds	13001	13468	+	LDPEMP_13065		Histidine biosynthesis protein HisIE	RefSeq:WP_008572071.1, SO:0001217, UniParc:UPI0001FD5168, UniRef:UniRef100_A0A1L5RB13, UniRef:UniRef50_V7ZAD3, UniRef:UniRef90_W4SEF0
NODE_18_length_90002_cov_22.203536	cds	14091	15470	-	LDPEMP_13070	ampC	CubicO group peptidase, beta-lactamase class C family	COG:COG1680, COG:V, SO:0001217, UniParc:UPI00005CEFFC, UniRef:UniRef100_A0A6B3KQU8, UniRef:UniRef50_A0A0D0R547, UniRef:UniRef90_A0A0U5FKS5
NODE_18_length_90002_cov_22.203536	cds	15804	17171	+	LDPEMP_13075		MFS transporter	RefSeq:WP_218559364.1, SO:0001217, UniParc:UPI001C4589BB, UniRef:UniRef100_UPI001C4589BB, UniRef:UniRef50_A0A091API1, UniRef:UniRef90_A0A1V9GVH1
NODE_18_length_90002_cov_22.203536	cds	17351	17704	+	LDPEMP_13080		Uncharacterized membrane protein	COG:COG3759, COG:S, RefSeq:WP_008572074.1, SO:0001217, UniParc:UPI0001FD516B, UniRef:UniRef100_A0A0G8WIN4, UniRef:UniRef50_J3NVF1, UniRef:UniRef90_G0CBH2
NODE_18_length_90002_cov_22.203536	cds	18007	20481	-	LDPEMP_13085	fadE	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	COG:COG1960, COG:I, RefSeq:WP_218559363.1, SO:0001217, UniParc:UPI001C437157, UniRef:UniRef100_UPI001C437157, UniRef:UniRef50_A0A0A0M5R6, UniRef:UniRef90_A0A1Y6HCL8
NODE_18_length_90002_cov_22.203536	cds	20478	21401	-	LDPEMP_13090		Hydrolase-4 domain-containing protein	RefSeq:WP_065627447.1, SO:0001217, UniParc:UPI00080E3632, UniRef:UniRef100_A0A7W7KT60, UniRef:UniRef50_Q5H1W4, UniRef:UniRef90_Q5H1W4
NODE_18_length_90002_cov_22.203536	cds	21538	22146	+	LDPEMP_13095	acrR	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA	COG:COG1309, COG:K, RefSeq:WP_003482399.1, SO:0001217, UniParc:UPI00000D83AD, UniRef:UniRef100_Q3BQP4, UniRef:UniRef50_Q5H1W3, UniRef:UniRef90_Q5H1W3
NODE_18_length_90002_cov_22.203536	cds	22268	25039	-	LDPEMP_13100	fepA	Outer membrane receptor for ferrienterochelin and colicins	COG:COG4771, COG:P, RefSeq:WP_014090744.1, SO:0001217, UniParc:UPI0002266990, UniRef:UniRef100_A0A0G9CCK1, UniRef:UniRef50_A0A2S7CQB1, UniRef:UniRef90_A0A0G9CCK1
NODE_18_length_90002_cov_22.203536	cds	25282	26115	-	LDPEMP_13105		Secreted protein	RefSeq:WP_029819951.1, SO:0001217, UniParc:UPI0004A2F754, UniRef:UniRef100_A0A6B3KH77, UniRef:UniRef50_A0A1H1BQJ7, UniRef:UniRef90_Q5H1W1
NODE_18_length_90002_cov_22.203536	cds	26269	27159	-	LDPEMP_13110	hslO	Redox-regulated molecular chaperone, HSP33 family	COG:COG1281, COG:O, KEGG:K04083, RefSeq:WP_057680682.1, SO:0001217, UniParc:UPI0006E5E37B, UniRef:UniRef100_A0A1S1XGT9, UniRef:UniRef50_A0A091B201, UniRef:UniRef90_W4SAY5
NODE_18_length_90002_cov_22.203536	cds	27234	27980	+	LDPEMP_13115	mtgA	monofunctional biosynthetic peptidoglycan transglycosylase	EC:2.4.1.129, GO:0005886, GO:0008360, GO:0008955, GO:0009252, GO:0009274, GO:0016763, GO:0071555, RefSeq:WP_031423680.1, SO:0001217, UniParc:UPI0004DEDD17, UniRef:UniRef100_A0A6B3KI17, UniRef:UniRef50_Q8PI51, UniRef:UniRef90_Q8PI51
NODE_18_length_90002_cov_22.203536	cds	27977	29023	+	LDPEMP_13120	wcaA	Glycosyltransferase involved in cell wall bisynthesis	COG:COG0463, COG:M, RefSeq:WP_109290813.1, SO:0001217, UniParc:UPI000D687E29, UniRef:UniRef100_UPI000D687E29, UniRef:UniRef50_A0A0U5FI82, UniRef:UniRef90_A0A0U5FI82
NODE_18_length_90002_cov_22.203536	cds	28983	29411	+	LDPEMP_13125		Histidine kinase	RefSeq:WP_109290815.1, SO:0001217, UniParc:UPI000D69F46C, UniRef:UniRef100_UPI000D69F46C, UniRef:UniRef50_A0A150HVH0, UniRef:UniRef90_V7Z9Q5
NODE_18_length_90002_cov_22.203536	cds	29424	31409	-	LDPEMP_13130	asmA	AsmA domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0Q9F694, UniRef:UniRef90_A0A0M1KHT5
NODE_18_length_90002_cov_22.203536	cds	31438	32082	-	LDPEMP_13135	yqfA	putative membrane channel-forming protein YqfA, hemolysin III family	COG:COG1272, COG:U, RefSeq:WP_008572085.1, SO:0001217, UniParc:UPI00005CEFEF, UniRef:UniRef100_A0A6B3KDT0, UniRef:UniRef50_A0A7G9SRB0, UniRef:UniRef90_W4SCY2
NODE_18_length_90002_cov_22.203536	cds	32158	33762	-	LDPEMP_13140	prfC	peptide chain release factor 3	COG:COG4108, COG:J, GO:0003924, GO:0005525, GO:0005737, GO:0006449, GO:0016149, RefSeq:WP_031423675.1, SO:0001217, UniParc:UPI0004DEE3F6, UniRef:UniRef100_A0A7W7KTT1, UniRef:UniRef50_Q9PGX4, UniRef:UniRef90_B4SSC0
NODE_18_length_90002_cov_22.203536	cds	33901	34926	-	LDPEMP_13145		M23 family metallopeptidase	SO:0001217, UniRef:UniRef50_Q8PI57, UniRef:UniRef90_A0A098Q0R9
NODE_18_length_90002_cov_22.203536	ncRNA-region	34934	35054	+			SAM riboswitch (S box leader)	RFAM:RF00162, SO:0000140
NODE_18_length_90002_cov_22.203536	cds	35124	36155	+	LDPEMP_13150	mET2	homoserine O-succinyltransferase	COG:COG2021, COG:E, RefSeq:WP_011348198.1, SO:0001217, UniParc:UPI00005CEFEC, UniRef:UniRef100_Q3BQQ5, UniRef:UniRef50_Q8P6V8, UniRef:UniRef90_A0A0U5FG60
NODE_18_length_90002_cov_22.203536	cds	36152	37369	+	LDPEMP_13155	metB	O-succinylhomoserine (thiol)-lyase	COG:COG0626, COG:E, RefSeq:WP_029819947.1, SO:0001217, UniParc:UPI0004A3685D, UniRef:UniRef100_A0A1S1XGU5, UniRef:UniRef50_E1SN52, UniRef:UniRef90_A0A0U5FGG2
NODE_18_length_90002_cov_22.203536	cds	37366	38454	+	LDPEMP_13160		Homoserine dehydrogenase	SO:0001217, UniRef:UniRef50_A0A7V8FHT3, UniRef:UniRef90_V7ZBP4
NODE_18_length_90002_cov_22.203536	cds	38607	39602	-	LDPEMP_13165		4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1 (10),2-diene-4-oate hydrolase	SO:0001217, UniRef:UniRef50_A0A6J5C6N7, UniRef:UniRef90_A0A2S7CQD9
NODE_18_length_90002_cov_22.203536	cds	39952	41334	-	LDPEMP_13170	sdaA	L-serine ammonia-lyase	COG:COG1760, COG:E, RefSeq:WP_218559359.1, SO:0001217, UniParc:UPI001C47A5C3, UniRef:UniRef100_UPI001C47A5C3, UniRef:UniRef50_P71349, UniRef:UniRef90_B2FQZ4
NODE_18_length_90002_cov_22.203536	cds	41422	41661	+	LDPEMP_13175		Glutaredoxin family protein	RefSeq:WP_014090734.1, SO:0001217, UniParc:UPI000226694C, UniRef:UniRef100_A0A2S7EGK3, UniRef:UniRef50_A0A0S2FM90, UniRef:UniRef90_A0A2H1SF48
NODE_18_length_90002_cov_22.203536	ncRNA	41742	41818	-	LDPEMP_13180	Xoo2	Xanthomonadaceae sRNA Xoo2	RFAM:RF02241, SO:0000655
NODE_18_length_90002_cov_22.203536	cds	41808	42377	-	LDPEMP_13185	yceI	Polyisoprenoid-binding periplasmic protein YceI	COG:COG2353, COG:R, RefSeq:WP_011348193.1, SO:0001217, UniParc:UPI00005CEFE6, UniRef:UniRef100_A0A3G2W3Q7, UniRef:UniRef50_Q9PDQ2, UniRef:UniRef90_Q5H1U3
NODE_18_length_90002_cov_22.203536	cds	42387	42950	-	LDPEMP_13190	cybB	Cytochrome b561	COG:C, COG:COG3038, RefSeq:WP_008575305.1, SO:0001217, UniParc:UPI0001FD5F48, UniRef:UniRef100_A0A0G8UGA9, UniRef:UniRef50_A0A091ATJ9, UniRef:UniRef90_W4SMY5
NODE_18_length_90002_cov_22.203536	cds	42947	43609	-	LDPEMP_13195	yceI	Polyisoprenoid-binding periplasmic protein YceI	COG:COG2353, COG:R, RefSeq:WP_218559358.1, SO:0001217, UniParc:UPI001C43B696, UniRef:UniRef100_UPI001C43B696, UniRef:UniRef50_D2UER2, UniRef:UniRef90_A0A1C3NJ43
NODE_18_length_90002_cov_22.203536	cds	43706	47281	+	LDPEMP_13200		Periplasmic ligand-binding sensor domain	COG:COG3292, COG:T, RefSeq:WP_218559357.1, SO:0001217, UniParc:UPI001C45301A, UniRef:UniRef100_UPI001C45301A, UniRef:UniRef50_A0A0H2X6Z2, UniRef:UniRef90_A0A0U5FKP5
NODE_18_length_90002_cov_22.203536	cds	47577	51110	+	LDPEMP_13205		histidine kinase	SO:0001217, UniRef:UniRef50_A0A0K0GLS1, UniRef:UniRef90_Q3BQR5
NODE_18_length_90002_cov_22.203536	cds	51316	54885	+	LDPEMP_13210		histidine kinase	RefSeq:WP_218559355.1, SO:0001217, UniParc:UPI001C485E81, UniRef:UniRef100_UPI001C485E81, UniRef:UniRef50_Q3BQR7, UniRef:UniRef90_A0A1D9EGK9
NODE_18_length_90002_cov_22.203536	cds	55279	58824	+	LDPEMP_13215		histidine kinase	SO:0001217, UniRef:UniRef50_Q3BQR7, UniRef:UniRef90_Q3BQR7
NODE_18_length_90002_cov_22.203536	cds	58859	60307	-	LDPEMP_13220	araJ	putative arabinose efflux permease AraJ, MFS family	COG:COG2814, COG:G, KEGG:K18326, SO:0001217, UniRef:UniRef50_A0A853IW96, UniRef:UniRef90_W4SMH6
NODE_18_length_90002_cov_22.203536	cds	60642	61706	-	LDPEMP_13225	hemE	uroporphyrinogen decarboxylase	COG:COG0407, COG:H, EC:4.1.1.37, GO:0004853, GO:0005829, GO:0006783, GO:0019353, RefSeq:WP_008571718.1, SO:0001217, UniParc:UPI0001FD4AA8, UniRef:UniRef100_A0A0G8W906, UniRef:UniRef50_A1KCN9, UniRef:UniRef90_B2SKP7
NODE_18_length_90002_cov_22.203536	cds	61721	61975	-	LDPEMP_13230		WGR domain-containing protein	RefSeq:WP_014090725.1, SO:0001217, UniParc:UPI0002266943, UniRef:UniRef100_A0A0G8XXU6, UniRef:UniRef50_A0A0R0B0U6, UniRef:UniRef90_A0A0U5FG32
NODE_18_length_90002_cov_22.203536	cds	62268	63380	-	LDPEMP_13235	aroB	3-dehydroquinate synthase	COG:COG0337, COG:E, EC:4.2.3.4, GO:0000166, GO:0003856, GO:0005737, GO:0008652, GO:0009073, GO:0009423, GO:0046872, RefSeq:WP_033478539.1, SO:0001217, UniParc:UPI0002FDA035, UniRef:UniRef100_A0A0G8UV92, UniRef:UniRef50_Q9PDP5, UniRef:UniRef90_Q4UX86
NODE_18_length_90002_cov_22.203536	cds	63377	63919	-	LDPEMP_13240	aroK	Shikimate kinase	COG:COG0703, COG:E, EC:2.7.1.71, GO:0000287, GO:0004765, GO:0005524, GO:0005737, GO:0008652, GO:0009073, GO:0009423, GO:0016310, RefSeq:WP_218559353.1, SO:0001217, UniParc:UPI001C4749D8, UniRef:UniRef100_UPI001C4749D8, UniRef:UniRef50_Q4UX85, UniRef:UniRef90_Q8PI88
NODE_18_length_90002_cov_22.203536	cds	64088	64687	+	LDPEMP_13245	pdxH	pyridoxamine 5'-phosphate oxidase	COG:COG0259, COG:H, EC:1.4.3.5, GO:0004733, GO:0008615, GO:0010181, RefSeq:WP_008571714.1, SO:0001217, UniParc:UPI00005CEFDA, UniRef:UniRef100_Q3BQS3, UniRef:UniRef50_Q8PI89, UniRef:UniRef90_Q3BQS3
NODE_18_length_90002_cov_22.203536	cds	64867	65283	+	LDPEMP_13250	yjfI	DUF2170 domain-containing protein	COG:COG3789, COG:S, SO:0001217, UniParc:UPI0001CEC646, UniRef:UniRef100_A0A6B3KEB2, UniRef:UniRef50_Q8PI90, UniRef:UniRef90_Q8PI90
NODE_18_length_90002_cov_22.203536	cds	65296	66069	+	LDPEMP_13255	pspA	Phage shock protein A	COG:COG1842, COG:KT, RefSeq:WP_011348181.1, SO:0001217, UniParc:UPI00005CEFD8, UniRef:UniRef100_A0A6B3KJY8, UniRef:UniRef50_V7ZAQ0, UniRef:UniRef90_V7ZAQ0
NODE_18_length_90002_cov_22.203536	cds	66095	67177	+	LDPEMP_13260		Potassium channel related protein	RefSeq:WP_011348180.1, SO:0001217, UniParc:UPI00005CEFD7, UniRef:UniRef100_A0A6B3KL62, UniRef:UniRef50_A0A6J4L268, UniRef:UniRef90_Q8PI92
NODE_18_length_90002_cov_22.203536	cds	67180	67851	+	LDPEMP_13265		DUF2491 domain-containing protein	SO:0001217, UniParc:UPI0003057C7E, UniRef:UniRef100_Q3BQS7, UniRef:UniRef50_A0A1A9MID4, UniRef:UniRef90_A0A1A9MID4
NODE_18_length_90002_cov_22.203536	cds	67889	68293	+	LDPEMP_13270	yjfL	Uncharacterized membrane protein YjfL, UPF0719 family	COG:COG3766, COG:S, KEGG:K08989, RefSeq:WP_003489536.1, SO:0001217, UniParc:UPI00000D8380, UniRef:UniRef100_A0A6B3KHP5, UniRef:UniRef50_A0A0S2FI80, UniRef:UniRef90_V7ZB59
NODE_18_length_90002_cov_22.203536	cds	68306	68878	+	LDPEMP_13275		DUF1190 domain-containing protein	RefSeq:WP_008573065.1, SO:0001217, UniParc:UPI00005CEFD5, UniRef:UniRef100_A0A6B3KJ33, UniRef:UniRef50_Q8P6Y1, UniRef:UniRef90_V7ZBS4
NODE_18_length_90002_cov_22.203536	cds	68880	70046	+	LDPEMP_13280	gsp	Glutathionylspermidine synthase, CHAP domain	COG:COG0754, COG:E, RefSeq:WP_011348178.1, SO:0001217, UniParc:UPI00005CEFD4, UniRef:UniRef100_A0A6B3KIN6, UniRef:UniRef50_A0A0K3A190, UniRef:UniRef90_A0A0E3UE63
NODE_18_length_90002_cov_22.203536	cds	70612	71985	-	LDPEMP_13285		MFS transporter	RefSeq:WP_209261275.1, SO:0001217, UniParc:UPI001ADA64EA, UniRef:UniRef100_UPI001ADA64EA, UniRef:UniRef50_J7SX97, UniRef:UniRef90_Q8PI97
NODE_18_length_90002_cov_22.203536	cds	72085	72531	+	LDPEMP_13290	soxR	redox-sensitive transcriptional activator SoxR	COG:COG0789, COG:K, RefSeq:WP_031423642.1, SO:0001217, UniParc:UPI0004DFA58A, UniRef:UniRef100_UPI0004DFA58A, UniRef:UniRef50_Q51506, UniRef:UniRef90_A0A3E1KK90
NODE_18_length_90002_cov_22.203536	cds	72762	74771	+	LDPEMP_13295	pepN	DUF3458 domain-containing protein	COG:COG0308, COG:E, RefSeq:WP_218559351.1, SO:0001217, UniParc:UPI001C47FC05, UniRef:UniRef100_UPI001C47FC05, UniRef:UniRef50_I4VYJ7, UniRef:UniRef90_A0A7W7KTG7
NODE_18_length_90002_cov_22.203536	cds	75803	78961	+	LDPEMP_13300	fepA	Outer membrane receptor for ferrienterochelin and colicins	COG:COG4771, COG:P, RefSeq:WP_218559350.1, SO:0001217, UniParc:UPI001C485B6C, UniRef:UniRef100_UPI001C485B6C, UniRef:UniRef50_A0A6V7CMC8, UniRef:UniRef90_A0A6V7CMC8
NODE_18_length_90002_cov_22.203536	cds	79288	80046	+	LDPEMP_13305	sapC	SapC protein	RefSeq:WP_014090714.1, SO:0001217, UniParc:UPI00022668FA, UniRef:UniRef100_A0A2H1SML9, UniRef:UniRef50_Q5H3F6, UniRef:UniRef90_Q5H3F6
NODE_18_length_90002_cov_22.203536	cds	80051	81097	+	LDPEMP_13310	jmjC	JmjC domain-containing protein	RefSeq:WP_218559349.1, SO:0001217, UniParc:UPI001C45A302, UniRef:UniRef100_UPI001C45A302, UniRef:UniRef50_Q8P6Y9, UniRef:UniRef90_D4T3I8
NODE_18_length_90002_cov_22.203536	cds	81138	82655	+	LDPEMP_13315	dadA	Glycine/D-amino acid oxidase (deaminating)	COG:COG0665, COG:E, SO:0001217, UniRef:UniRef50_V4PUT0, UniRef:UniRef90_H8FK34
NODE_18_length_90002_cov_22.203536	cds	82958	83965	-	LDPEMP_13320		MBL fold metallo-hydrolase	RefSeq:WP_033478686.1, SO:0001217, UniParc:UPI000528878E, UniRef:UniRef100_A0A0G8ZSN8, UniRef:UniRef50_G0ACI8, UniRef:UniRef90_A0A0U5FJT1
NODE_18_length_90002_cov_22.203536	cds	84102	84500	-	LDPEMP_13325		Secreted protein	RefSeq:WP_218559347.1, SO:0001217, UniParc:UPI001C48172C, UniRef:UniRef100_UPI001C48172C, UniRef:UniRef50_A0A0U5FI50, UniRef:UniRef90_A0A0G8YW41
NODE_18_length_90002_cov_22.203536	cds	84903	86300	-	LDPEMP_13330		Lysyl endopeptidase	EC:3.4.21.50, KEGG:K01337, RefSeq:WP_218559346.1, SO:0001217, UniParc:UPI001C45D265, UniRef:UniRef100_UPI001C45D265, UniRef:UniRef50_A0A0U5BVD4, UniRef:UniRef90_A0A0U5BVD4
NODE_18_length_90002_cov_22.203536	cds	86776	88056	+	LDPEMP_13335		Lipase-3 domain-containing protein	SO:0001217, UniRef:UniRef50_Q3BQU4, UniRef:UniRef90_Q3BQU4
NODE_18_length_90002_cov_22.203536	cds	88408	89790	-	LDPEMP_13340	potE	Serine transporter YbeC, amino acid:H+ symporter family	COG:COG0531, COG:E, KEGG:K14052, RefSeq:WP_218559345.1, SO:0001217, UniParc:UPI001C444F8E, UniRef:UniRef100_UPI001C444F8E, UniRef:UniRef50_W4SNH9, UniRef:UniRef90_B2DC87
NODE_19_length_89440_cov_21.334993	tRNA	47	125	+	LDPEMP_13345	trnS	tRNA-Ser(cga)	SO:0000269
NODE_19_length_89440_cov_21.334993	cds	410	1018	-	LDPEMP_13350		CAAX protease family protein	KEGG:K07052, SO:0001217, UniRef:UniRef50_A0A023Y2W0, UniRef:UniRef90_A0A0G8VLS0
NODE_19_length_89440_cov_21.334993	cds	1257	1631	-	LDPEMP_13355		Glyoxalase	SO:0001217, UniRef:UniRef50_A0A1V9GLB1, UniRef:UniRef90_A0A1V9GLB1
NODE_19_length_89440_cov_21.334993	cds	1763	2701	+	LDPEMP_13360	araC	AraC family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A1L5R2Y6, UniRef:UniRef90_A0A1L5R2Y6
NODE_19_length_89440_cov_21.334993	cds	3074	3574	+	LDPEMP_13365		Sensory protein	RefSeq:WP_218503140.1, SO:0001217, UniParc:UPI001C4415CA, UniRef:UniRef100_UPI001C4415CA, UniRef:UniRef50_A0A0A0F3F8, UniRef:UniRef90_A0A0G9CNZ5
NODE_19_length_89440_cov_21.334993	cds	4164	6671	+	LDPEMP_13370	thrA	bifunctional aspartate kinase/homoserine dehydrogenase I	COG:COG0527, COG:E, EC:1.1.1.3, EC:2.7.2.4, KEGG:K12524, RefSeq:WP_218559370.1, SO:0001217, UniParc:UPI001C45E48F, UniRef:UniRef100_UPI001C45E48F, UniRef:UniRef50_Q8P9Q1, UniRef:UniRef90_Q8P9Q1
NODE_19_length_89440_cov_21.334993	cds	6668	7609	+	LDPEMP_13375	thrB	homoserine kinase	COG:COG0083, COG:E, RefSeq:WP_218559371.1, SO:0001217, UniParc:UPI001C49310B, UniRef:UniRef100_UPI001C49310B, UniRef:UniRef50_Q9PBC0, UniRef:UniRef90_A0A0K0GKF5
NODE_19_length_89440_cov_21.334993	cds	8110	9876	+	LDPEMP_13380		Tannase/feruloyl esterase family alpha/beta hydrolase	SO:0001217, UniRef:UniRef50_Q8P8Y5, UniRef:UniRef90_A0A1V9H0R5
NODE_19_length_89440_cov_21.334993	cds	10570	10884	-	LDPEMP_13385	ethD	EthD domain-containing protein	RefSeq:WP_218559372.1, SO:0001217, UniParc:UPI001C47EB23, UniRef:UniRef100_UPI001C47EB23, UniRef:UniRef50_Q8P9P9, UniRef:UniRef90_Q3BUG4
NODE_19_length_89440_cov_21.334993	cds	11046	12350	+	LDPEMP_13390	thrC	threonine synthase	COG:COG0498, COG:E, SO:0001217, UniRef:UniRef50_A0A7Y8GQA1, UniRef:UniRef90_Q8P9P8
NODE_19_length_89440_cov_21.334993	cds	12464	13195	+	LDPEMP_13395		murein L,D-transpeptidase catalytic domain family protein	SO:0001217, UniRef:UniRef50_A0A7V8GQB2, UniRef:UniRef90_UPI002010E6D6
NODE_19_length_89440_cov_21.334993	cds	13281	14042	-	LDPEMP_13400		CRP-like protein Clp	SO:0001217, UniParc:UPI00022668CA, UniRef:UniRef100_A0A2S7EHX8, UniRef:UniRef50_A0A6V7EBA3, UniRef:UniRef90_A0A3E1KNZ1
NODE_19_length_89440_cov_21.334993	cds	14150	15586	+	LDPEMP_13405	hisS	histidine--tRNA ligase	COG:COG0124, COG:J, EC:6.1.1.21, GO:0004821, GO:0005524, GO:0005737, GO:0006427, RefSeq:WP_136733172.1, SO:0001217, UniParc:UPI0010AB8E7A, UniRef:UniRef100_UPI0010AB8E7A, UniRef:UniRef50_B2FPL6, UniRef:UniRef90_Q8P9P5
NODE_19_length_89440_cov_21.334993	cds	15801	16127	+	LDPEMP_13410	yerC	putative DNA-binding transcriptional regulator YerC, contains ArsR-like HTH domain	COG:COG4496, COG:R, RefSeq:WP_014090043.1, SO:0001217, UniParc:UPI00022668CC, UniRef:UniRef100_A0A0G9DAU9, UniRef:UniRef50_A0A2H1SUP3, UniRef:UniRef90_A0A2H1SUP3
NODE_19_length_89440_cov_21.334993	cds	16137	17051	+	LDPEMP_13415	hisG	ATP phosphoribosyltransferase	COG:COG0040, COG:E, EC:2.4.2.17, GO:0000105, GO:0000287, GO:0003879, GO:0005524, GO:0005737, RefSeq:WP_014090044.1, SO:0001217, UniParc:UPI00022668CD, UniRef:UniRef100_A0A1S1XRJ5, UniRef:UniRef50_B2FPL8, UniRef:UniRef90_Q8P9P3
NODE_19_length_89440_cov_21.334993	cds	17048	18343	+	LDPEMP_13420	hisD	Histidinol dehydrogenase	COG:COG0141, COG:E, EC:1.1.1.23, GO:0000105, GO:0004399, GO:0008270, GO:0051287, RefSeq:WP_218559374.1, SO:0001217, UniParc:UPI001C45B80D, UniRef:UniRef100_UPI001C45B80D, UniRef:UniRef50_Q8P9P2, UniRef:UniRef90_Q8P9P2
NODE_19_length_89440_cov_21.334993	cds	18340	19431	+	LDPEMP_13425	hisC	histidinol-phosphate transaminase	COG:COG0079, COG:E, EC:2.6.1.9, GO:0000105, GO:0004400, GO:0030170, KEGG:K00817, RefSeq:WP_218559375.1, SO:0001217, UniParc:UPI001C43FF14, UniRef:UniRef100_UPI001C43FF14, UniRef:UniRef50_P58891, UniRef:UniRef90_P58891
NODE_19_length_89440_cov_21.334993	cds	19428	20555	+	LDPEMP_13430	hisB	bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB	COG:COG0241, COG:E, GO:0000105, GO:0004401, GO:0004424, GO:0005737, GO:0046872, RefSeq:WP_218559376.1, SO:0001217, UniParc:UPI001C449D79, UniRef:UniRef100_UPI001C449D79, UniRef:UniRef50_P44327, UniRef:UniRef90_P58881
NODE_19_length_89440_cov_21.334993	cds	20552	21154	+	LDPEMP_13435	hisH	imidazole glycerol phosphate synthase subunit HisH	COG:COG0118, COG:E, EC:4.3.2.10, GO:0000105, GO:0000107, GO:0004359, GO:0005737, GO:0006541, GO:0016829, RefSeq:WP_218559377.1, SO:0001217, UniParc:UPI001C43F122, UniRef:UniRef100_UPI001C43F122, UniRef:UniRef50_Q9PBC8, UniRef:UniRef90_Q8PLG8
NODE_19_length_89440_cov_21.334993	cds	21151	21885	+	LDPEMP_13440	hisA	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	COG:COG0106, COG:E, EC:5.3.1.16, GO:0000105, GO:0003949, GO:0005737, KEGG:K01814, RefSeq:WP_218559378.1, SO:0001217, UniParc:UPI001C441CCD, UniRef:UniRef100_UPI001C441CCD, UniRef:UniRef50_B2FPM3, UniRef:UniRef90_Q8PLG7
NODE_19_length_89440_cov_21.334993	cds	21879	22655	+	LDPEMP_13445	hisF	Imidazole glycerol phosphate synthase subunit HisF	EC:4.3.2.10, GO:0000105, GO:0000107, GO:0005737, GO:0016829, RefSeq:WP_008571446.1, SO:0001217, UniParc:UPI00005CEB3F, UniRef:UniRef100_Q3BUF2, UniRef:UniRef50_Q9PM72, UniRef:UniRef90_Q3BUF2
NODE_19_length_89440_cov_21.334993	cds	22645	23265	+	LDPEMP_13450	hisIE	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE	GO:0000105, GO:0004635, GO:0004636, GO:0005524, GO:0005737, RefSeq:WP_008571447.1, SO:0001217, UniParc:UPI0001FD4728, UniRef:UniRef100_A0A0G8V1I7, UniRef:UniRef50_Q8EFB6, UniRef:UniRef90_Q8P9N8
NODE_19_length_89440_cov_21.334993	cds	23435	25021	+	LDPEMP_13455		Calcineurin phosphoesterase	RefSeq:WP_218559379.1, SO:0001217, UniParc:UPI001C47F251, UniRef:UniRef100_UPI001C47F251, UniRef:UniRef50_A0A7Y9ND32, UniRef:UniRef90_A0A2H1SVV7
NODE_19_length_89440_cov_21.334993	cds	25478	26554	-	LDPEMP_13460		Peptidase C13	RefSeq:WP_057680759.1, SO:0001217, UniParc:UPI0006E50807, UniRef:UniRef100_A0A1S1XQN1, UniRef:UniRef50_A0A0J9WWR5, UniRef:UniRef90_A0A7W7L010
NODE_19_length_89440_cov_21.334993	cds	26739	27437	-	LDPEMP_13465	mtnC	acireductone synthase	EC:3.1.3.77, GO:0000287, GO:0019284, GO:0019509, GO:0043715, GO:0043716, GO:0043874, RefSeq:WP_008571450.1, SO:0001217, UniParc:UPI00005CEB43, UniRef:UniRef100_Q3BUE8, UniRef:UniRef50_B2SM84, UniRef:UniRef90_B2SM84
NODE_19_length_89440_cov_21.334993	cds	27440	28006	-	LDPEMP_13470	mtnD	Acireductone dioxygenase	COG:COG1791, COG:E, GO:0005506, GO:0006555, GO:0010308, GO:0010309, GO:0016151, GO:0019284, GO:0019509, RefSeq:WP_008571451.1, SO:0001217, UniParc:UPI00005CEB44, UniRef:UniRef100_Q3BUE7, UniRef:UniRef50_Q4UU50, UniRef:UniRef90_Q4UU50
NODE_19_length_89440_cov_21.334993	cds	28042	28695	-	LDPEMP_13475	mtnB	methylthioribulose 1-phosphate dehydratase	COG:COG0235, COG:EG, EC:4.2.1.109, GO:0005737, GO:0005996, GO:0008270, GO:0019284, GO:0019509, GO:0046570, RefSeq:WP_008571454.1, SO:0001217, UniParc:UPI0001FD472B, UniRef:UniRef100_A0A0G9DSD4, UniRef:UniRef50_B2SM82, UniRef:UniRef90_B2SM82
NODE_19_length_89440_cov_21.334993	cds	28785	30215	-	LDPEMP_13480	potE	Serine transporter YbeC, amino acid:H+ symporter family	COG:COG0531, COG:E, RefSeq:WP_008571455.1, SO:0001217, UniParc:UPI0001FD472C, UniRef:UniRef100_A0A0G9B2E6, UniRef:UniRef50_A0A1Y6H0Q6, UniRef:UniRef90_A0A1Y6H0Q6
